V1,V2,V3,File,ROTATE_0
LABELS,85.502784729,Fish,12227_tapir.jpg,
LABELS,85.502784729,Manta Ray,12227_tapir.jpg,
LABELS,85.502784729,Sea Life,12227_tapir.jpg,
LABELS,85.502784729,Stingray,12227_tapir.jpg,
LABELS,85.502784729,Stingray Fish,12227_tapir.jpg,
LABELS,70.3408889771,Algae,12227_tapir.jpg,
LABELS,50.7867279053,Animal,12227_tapir.jpg,
LABELS,50.7867279053,Boar,12227_tapir.jpg,
LABELS,50.7867279053,Hog,12227_tapir.jpg,
LABELS,50.7867279053,Mammal,12227_tapir.jpg,
LABELS,50.7867279053,Pig,12227_tapir.jpg,
LABELS,88.0246582031,Fish,12231_porcupine.jpg,
LABELS,88.0246582031,Sea Life,12231_porcupine.jpg,
LABELS,88.0246582031,Sturgeon,12231_porcupine.jpg,
LABELS,56.6273994446,Field,12231_porcupine.jpg,
LABELS,56.6273994446,Grass,12231_porcupine.jpg,
LABELS,56.6273994446,Grassland,12231_porcupine.jpg,
LABELS,56.6273994446,Plant,12231_porcupine.jpg,
LABELS,55.4377784729,Road,12231_porcupine.jpg,
LABELS,54.1629180908,Ground,12231_porcupine.jpg,
LABELS,54.1629180908,Soil,12231_porcupine.jpg,
LABELS,50.7886276245,Intersection,12231_porcupine.jpg,
LABELS,50.7739257812,City,12231_porcupine.jpg,
LABELS,50.7739257812,Downtown,12231_porcupine.jpg,
LABELS,95.6489181519,Bird,3743-2.JPG,
LABELS,95.6489181519,Grouse,3743-2.JPG,
LABELS,51.4678955078,Outdoors,3743-2.JPG,
LABELS,56.616027832,Bird,ave rapaz-3734-19.JPG,
LABELS,56.616027832,Buzzard,ave rapaz-3734-19.JPG,
LABELS,56.616027832,Harrier,ave rapaz-3734-19.JPG,
LABELS,56.616027832,Hawk,ave rapaz-3734-19.JPG,
LABELS,56.616027832,Vulture,ave rapaz-3734-19.JPG,
LABELS,54.7910385132,Bush,ave rapaz-3734-19.JPG,
LABELS,54.7910385132,Plant,ave rapaz-3734-19.JPG,
LABELS,54.7910385132,Vegetation,ave rapaz-3734-19.JPG,
LABELS,51.390083313,Forest,ave rapaz-3734-19.JPG,
LABELS,51.390083313,Jungle,ave rapaz-3734-19.JPG,
LABELS,51.2151641846,Grouse,ave rapaz-3734-19.JPG,
LABELS,51.2151641846,Ptarmigan,ave rapaz-3734-19.JPG,
LABELS,99.2779922485,Animal,Cchinga B-Rancho Chico 3715-14.JPG,
LABELS,99.2779922485,Mammal,Cchinga B-Rancho Chico 3715-14.JPG,
LABELS,99.2779922485,Skunk,Cchinga B-Rancho Chico 3715-14.JPG,
LABELS,83.6076965332,Cat,Cchinga B-Rancho Chico 3715-14.JPG,
LABELS,83.6076965332,Pet,Cchinga B-Rancho Chico 3715-14.JPG,
LABELS,92.6087646484,Bird,chunga 3728-5.JPG,
LABELS,92.6087646484,Crane Bird,chunga 3728-5.JPG,
LABELS,92.6087646484,Heron,chunga 3728-5.JPG,
LABELS,74.4465942383,Duck,chunga 3728-5.JPG,
LABELS,74.4465942383,Teal,chunga 3728-5.JPG,
LABELS,74.4465942383,Waterfowl,chunga 3728-5.JPG,
LABELS,52.2363777161,Goose,chunga 3728-5.JPG,
LABELS,50.7374572754,Plant,chunga 3728-5.JPG,
LABELS,50.7374572754,Vegetation,chunga 3728-5.JPG,
LABELS,52.8669891357,Bird,chunga 3728-7.JPG,
LABELS,52.8669891357,Crane Bird,chunga 3728-7.JPG,
LABELS,52.8669891357,Heron,chunga 3728-7.JPG,
LABELS,51.7009277344,Forest,chunga 3728-7.JPG,
LABELS,51.7009277344,Jungle,chunga 3728-7.JPG,
LABELS,51.1920852661,Outdoors,chunga 3728-7.JPG,
LABELS,50.912071228,Rainforest,chunga 3728-7.JPG,
