description,score,File
water,0.99391,12227_tapir.jpg
no person,0.9917679,12227_tapir.jpg
underwater,0.9834465,12227_tapir.jpg
wildlife,0.9659704,12227_tapir.jpg
nature,0.9636699,12227_tapir.jpg
fish,0.9633018,12227_tapir.jpg
swimming,0.9410776,12227_tapir.jpg
outdoors,0.92555505,12227_tapir.jpg
environment,0.9105879,12227_tapir.jpg
light,0.90797055,12227_tapir.jpg
daylight,0.894004,12227_tapir.jpg
river,0.8578789,12227_tapir.jpg
wood,0.8565724,12227_tapir.jpg
lake,0.8328632,12227_tapir.jpg
tropical,0.8299313,12227_tapir.jpg
dark,0.82743204,12227_tapir.jpg
pool,0.8261095,12227_tapir.jpg
side view,0.8255867,12227_tapir.jpg
one,0.8171134,12227_tapir.jpg
desktop,0.80322635,12227_tapir.jpg
water,0.98478884,12231_porcupine.jpg
no person,0.9758371,12231_porcupine.jpg
environment,0.9661367,12231_porcupine.jpg
nature,0.9615165,12231_porcupine.jpg
landscape,0.94603074,12231_porcupine.jpg
fish,0.9353317,12231_porcupine.jpg
outdoors,0.9266548,12231_porcupine.jpg
underwater,0.92259616,12231_porcupine.jpg
sea,0.8963076,12231_porcupine.jpg
ocean,0.8855978,12231_porcupine.jpg
travel,0.87570727,12231_porcupine.jpg
wildlife,0.8595999,12231_porcupine.jpg
calamity,0.8545402,12231_porcupine.jpg
desktop,0.85083795,12231_porcupine.jpg
daylight,0.8386715,12231_porcupine.jpg
lake,0.82453203,12231_porcupine.jpg
park,0.8128654,12231_porcupine.jpg
light,0.80698943,12231_porcupine.jpg
Earth surface,0.8049703,12231_porcupine.jpg
people,0.80285096,12231_porcupine.jpg
nature,0.98991954,3743-2.JPG
wildlife,0.98413247,3743-2.JPG
bird,0.9822548,3743-2.JPG
wild,0.97032243,3743-2.JPG
animal,0.9681102,3743-2.JPG
outdoors,0.95066255,3743-2.JPG
grass,0.93893933,3743-2.JPG
park,0.93208104,3743-2.JPG
no person,0.9275801,3743-2.JPG
beautiful,0.905121,3743-2.JPG
environment,0.89617133,3743-2.JPG
color,0.89074326,3743-2.JPG
water,0.86149526,3743-2.JPG
feather,0.84106976,3743-2.JPG
neck,0.83842963,3743-2.JPG
tree,0.8314761,3743-2.JPG
beak,0.82366574,3743-2.JPG
summer,0.7959384,3743-2.JPG
conservation,0.78542364,3743-2.JPG
tropical,0.77903545,3743-2.JPG
no person,0.9844655,Cchinga B-Rancho Chico 3715-14.JPG
one,0.97620416,Cchinga B-Rancho Chico 3715-14.JPG
winter,0.97547424,Cchinga B-Rancho Chico 3715-14.JPG
snow,0.972175,Cchinga B-Rancho Chico 3715-14.JPG
mammal,0.97133034,Cchinga B-Rancho Chico 3715-14.JPG
bird,0.95776427,Cchinga B-Rancho Chico 3715-14.JPG
portrait,0.95431995,Cchinga B-Rancho Chico 3715-14.JPG
wildlife,0.94845486,Cchinga B-Rancho Chico 3715-14.JPG
people,0.93169177,Cchinga B-Rancho Chico 3715-14.JPG
nature,0.93045455,Cchinga B-Rancho Chico 3715-14.JPG
outdoors,0.9237712,Cchinga B-Rancho Chico 3715-14.JPG
wood,0.9179378,Cchinga B-Rancho Chico 3715-14.JPG
landscape,0.9088829,Cchinga B-Rancho Chico 3715-14.JPG
